alpha,score
0.02,0.789697291556
0.04,0.795539033457
0.06,0.798459904408
0.08,0.800053106745
0.1,0.800318640467
0.12,0.799522039299
0.14,0.798725438131
0.16,0.79766330324
0.18,0.796866702071
0.2,0.798194370685
0.22,0.79766330324
0.24,0.796866702071
0.26,0.796601168348
0.28,0.795539033457
0.3,0.796070100903
0.32,0.795539033457
0.34,0.795539033457
0.36,0.795539033457
0.38,0.794476898566
0.4,0.794742432289
0.42,0.793680297398
0.44,0.793149229952
0.46,0.791821561338
0.48,0.791556027616
0.5,0.790759426447
0.52,0.79102496017
0.54,0.79102496017
0.56,0.792087095061
0.58,0.792087095061
0.6,0.791290493893
0.62,0.791290493893
0.64,0.79102496017
0.66,0.790493892724
0.68,0.789431757833
0.7,0.788900690388
0.72,0.788635156665
0.74,0.788900690388
0.76,0.788900690388
0.78,0.78916622411
0.8,0.788635156665
0.82,0.788900690388
0.84,0.788369622942
0.86,0.787573021774
0.88,0.787307488051
0.9,0.787838555497
0.92,0.787307488051
0.94,0.786776420605
0.96,0.787041954328
0.98,0.787307488051
1.0,0.788104089219
1.5,0.783590015932
2.0,0.776951672862
2.5,0.772437599575
3.0,0.768189060011
3.5,0.763409453001
4.0,0.759160913436
4.5,0.755443441317
5.0,0.75092936803
6.0,0.739776951673
7.0,0.734200743494
8.0,0.725969198088
9.0,0.722517259692
10.0,0.710302708444